Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
BestMatch,9.41215,Exact,0,Veronica teucrium,Veronica teucrium L.,Veronica teucrium,5B7FG,Veronica teucrium L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Digitalidoideae|Veroniceae|Veronica|Veronica teucrium,
BestMatch,9.41215,Exact,0,Potentilla grandiflora,Potentilla grandiflora L.,Potentilla grandiflora,78829,Potentilla grandiflora L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Rosoideae|Potentilleae|Potentillinae|Potentilla|Potentilla grandiflora,
BestMatch,9.41215,Exact,0,Saponaria ocymoides,Saponaria ocymoides L.,Saponaria ocymoides,79L79,Saponaria ocymoides L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Caryophyllaceae|Caryophylleae|Caryophyllinae|Saponaria|Saponaria ocymoides,
BestMatch,9.41215,Exact,0,Achillea millefolium,Achillea millefolium L.,Achillea millefolium,97H4,Achillea millefolium L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Anthemideae|Matricariinae|Achillea|Achillea millefolium,
BestMatch,9.41215,Exact,0,Saxifraga paniculata,Saxifraga paniculata Mill.,Saxifraga paniculata,6Y37B,Saxifraga paniculata Mill.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Saxifragaceae|Saxifrageae|Saxifraga|Saxifraga paniculata,
BestMatch,9.41215,Exact,0,Geranium sanguineum,Geranium sanguineum L.,Geranium sanguineum,3FV5W,Geranium sanguineum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Geraniales|Geraniaceae|Geranium|Geranium sanguineum,
BestMatch,9.41215,Exact,0,Luzula sylvatica,Luzula sylvatica (Huds.) Gaudin,Luzula sylvatica,3WHKH,Luzula sylvatica (Huds.) Gaudin,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Juncaceae|Luzula|Luzula sylvatica,
BestMatch,9.41215,Exact,0,Sesleria caerulea,Sesleria caerulea (L.) Ard.,Sesleria caerulea,4WZRY,Sesleria caerulea (L.) Ard.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Sesleria|Sesleria caerulea,
BestMatch,9.41215,Exact,0,Festuca valesiaca,Festuca valesiaca Schleich. ex Gaudin,Festuca valesiaca,6HTG5,Festuca valesiaca Schleich. ex Gaudin,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Festuca|Festuca valesiaca,
BestMatch,9.41215,Exact,0,Sempervivum tectorum,Sempervivum tectorum L.,Sempervivum tectorum,4WJ47,Sempervivum tectorum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae|Sempervivoideae|Semperviveae|Sempervivum|Sempervivum tectorum,
BestMatch,9.41215,Exact,0,Alchemilla conjuncta,Alchemilla conjuncta Bab.,Alchemilla conjuncta,5TVVV,Alchemilla conjuncta Bab.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Rosoideae|Potentilleae|Fragariinae|Alchemilla|Alchemilla conjuncta,
BestMatch,9.41180,Exact,0,Festuca arundinacea,Festuca arundinacea Schreb.,Festuca arundinacea,6HRRJ,Lolium arundinaceum (Schreb.) Darbysh.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Lolium|Lolium arundinaceum,
BestMatch,9.41215,Exact,0,Dianthus carthusianorum,Dianthus carthusianorum L.,Dianthus carthusianorum,6CPYS,Dianthus carthusianorum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Caryophyllaceae|Caryophylleae|Caryophyllinae|Dianthus|Dianthus carthusianorum,
BestMatch,9.41215,Exact,0,Sedum sexangulare,Sedum sexangulare L.,Sedum sexangulare,4W9XL,Sedum sexangulare L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae|Sempervivoideae|Sedeae|Sedum|Sedum sexangulare,
BestMatch,9.41215,Exact,0,Mercurialis perennis,Mercurialis perennis L.,Mercurialis perennis,3ZTK4,Mercurialis perennis L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|Acalyphoideae|Acalypheae|Mercurialinae|Mercurialis|Mercurialis perennis,
BestMatch,9.41215,Exact,0,Melica ciliata,Melica ciliata L.,Melica ciliata,72YQN,Melica ciliata L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Melica|Melica ciliata,
BestMatch,9.41215,Exact,0,Festuca laevigata,Festuca laevigata Gaudin,Festuca laevigata,6HSN6,Festuca laevigata Gaudin,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Festuca|Festuca laevigata,
BestMatch,9.41215,Exact,0,Tussilago farfara,Tussilago farfara L.,Tussilago farfara,59R86,Tussilago farfara L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Senecioneae|Tussilagininae|Tussilago|Tussilago farfara,
BestMatch,9.41215,Exact,0,Stachys sylvatica,Stachys sylvatica L.,Stachys sylvatica,4ZFZC,Stachys sylvatica L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Lamioideae|Stachydeae|Stachys|Stachys sylvatica,
BestMatch,9.41215,Exact,0,Hieracium villosum,Hieracium villosum Jacq.,Hieracium villosum,6LWQH,Hieracium villosum Jacq.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Cichorioideae|Cichorieae|Hieraciinae|Hieracium|Hieracium villosum,
BestMatch,9.41215,Exact,0,Festuca ovina,Festuca ovina L.,Festuca ovina,6HST6,Festuca ovina L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Festuca|Festuca ovina,
BestMatch,9.41215,Exact,0,Hieracium murorum,Hieracium murorum L.,Hieracium murorum,3LR8R,Hieracium murorum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Cichorioideae|Cichorieae|Hieraciinae|Hieracium|Hieracium murorum,
BestMatch,9.41215,Exact,0,Koeleria vallesiana,Koeleria vallesiana (Honck.) Gaudin,Koeleria vallesiana,8WW6K,Koeleria vallesiana (Honck.) Gaudin,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Koeleria|Koeleria vallesiana,
BestMatch,9.41215,Exact,0,Primula veris,Primula veris L.,Primula veris,4MDK3,Primula veris L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Primulaceae|Primuloideae|Primula|Primula veris,
BestMatch,9.41215,Exact,0,Stipa pennata,Stipa pennata L.,Stipa pennata,6ZVPW,Stipa pennata L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Stipa|Stipa pennata,
BestMatch,9.41180,Exact,0,Polygonum bistorta,Polygonum bistorta L.,Polygonum bistorta,4L95W,Bistorta officinalis subsp. officinalis,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Polygonaceae|Polygonoideae|Persicarieae|Bistorta|Bistorta officinalis|Bistorta officinalis officinalis,
