taxon_name_original,CHECK,species,famille,genre,espece,taxon_name,phytochemical_diversity_full,div_group,Aternative,comm,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Origanum vulgare,ok,origanum_vulgare,Lamiaceae,Origanum,vulgare,Origanum vulgare,2003,top,,,BestMatch,9.41215,Exact,0,Origanum vulgare,Origanum vulgare L.,Origanum vulgare,6T7B5,Origanum vulgare L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Nepetoideae|Mentheae|Menthinae|Origanum|Origanum vulgare,
Ononis spinosa,ok,ononis_spinosa,Fabaceae,Ononis,spinosa,Ononis spinosa,1982,top,,,BestMatch,9.41215,Exact,0,Ononis spinosa,Ononis spinosa L.,Ononis spinosa,49LF6,Ononis spinosa L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Ononis|Ononis spinosa,
Linum alpinum,ok,linum_alpinum,Linaceae,Linum,alpinum,Linum alpinum,1976,top,,,BestMatch,9.41215,Exact,0,Linum alpinum,Linum alpinum Jacq.,Linum alpinum,3V4LS,Linum alpinum Jacq.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Linaceae|Lineae|Linum|Linum alpinum,
Galium verum,ok,galium_verum,Rubiaceae,Galium,verum,Galium verum,1955,top,,,BestMatch,9.41215,Exact,0,Galium verum,Galium verum L.,Galium verum,3F6PX,Galium verum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Rubioideae|Rubieae|Galiinae|Galium|Galium verum,
Potentilla erecta,ok,potentilla_erecta,Rosaceae,Potentilla,erecta,Potentilla erecta,1949,top,P. argentea,n'a vraiment pas la meme ecologie que les autres (acidophile),BestMatch,9.41215,Exact,0,Potentilla erecta,Potentilla erecta (L.) Raeusch.,Potentilla erecta,6VVPW,Potentilla erecta (L.) Raeusch.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Rosoideae|Potentilleae|Potentillinae|Potentilla|Potentilla erecta,
Bromus erectus,ok,bromus_erectus,Poaceae,Bromus,erectus,Bromus erectus,1947,top,,,BestMatch,9.41215,Exact,0,Bromus erectus,Bromus erectus Huds.,Bromus erectus,NCYR,Bromus erectus Huds.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Bromus|Bromus erectus,
Veronica teucrium,non,veronica_teucrium,Plantaginaceae,Veronica,teucrium,Veronica teucrium,1943,top,,,BestMatch,9.41215,Exact,0,Veronica teucrium,Veronica teucrium L.,Veronica teucrium,5B7FG,Veronica teucrium L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Digitalidoideae|Veroniceae|Veronica|Veronica teucrium,
Potentilla grandiflora,ok,potentilla_grandiflora,Rosaceae,Potentilla,grandiflora,Potentilla grandiflora,1942,top,Potentilla aurea ?,acidophile,BestMatch,9.41215,Exact,0,Potentilla grandiflora,Potentilla grandiflora L.,Potentilla grandiflora,78829,Potentilla grandiflora L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Rosoideae|Potentilleae|Potentillinae|Potentilla|Potentilla grandiflora,
Saponaria ocymoides,ok,saponaria_ocymoides,Caryophyllaceae,Saponaria,ocymoides,Saponaria ocymoides,1938,top,,,BestMatch,9.41215,Exact,0,Saponaria ocymoides,Saponaria ocymoides L.,Saponaria ocymoides,79L79,Saponaria ocymoides L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Caryophyllaceae|Caryophylleae|Caryophyllinae|Saponaria|Saponaria ocymoides,
Achillea millefolium,ok,achillea_millefolium,Asteraceae,Achillea,millefolium,Achillea millefolium,1931,top,,,BestMatch,9.41215,Exact,0,Achillea millefolium,Achillea millefolium L.,Achillea millefolium,97H4,Achillea millefolium L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Anthemideae|Matricariinae|Achillea|Achillea millefolium,
