fullname,firstname,lastname,laboratory,ORCID,iNat_username
Emmanuel Defossez,Emmanuel,Defossez,Jardin botanique de Neuchatel,,
Mazzarine Laboureau,Mazzarine,Laboureau,Jardin botanique de Neuchatel,,
